id;naam;categorie_id;gepubliceerd;gearchiveerd;created_at;updated_at;created_by;updated_by
1165;Boogschieten;31;1;0;NULL;NULL;NULL;NULL
1387;Waterballet;20;1;0;12/03/2010 12:11;9/01/2014 9:07;NULL;661
1167;Kleischieten;70;1;0;NULL;NULL;NULL;NULL
1168;Kruisboog;78;1;0;NULL;NULL;NULL;NULL
1169;Kajak;52;1;0;NULL;NULL;NULL;NULL
1170;Kano;52;1;0;NULL;NULL;NULL;NULL
1171;Polo;52;1;0;NULL;NULL;NULL;NULL
1172;Roeien;65;1;0;NULL;NULL;NULL;NULL
1173;Waterski;82;1;0;NULL;NULL;NULL;NULL
1174;Windsurfing;86;1;0;NULL;NULL;NULL;NULL
1175;Zeilen;86;1;0;NULL;NULL;NULL;NULL
1176;Skeeleren;66;1;0;NULL;NULL;NULL;NULL
1177;Kunstrolschaatsen;66;1;0;NULL;NULL;NULL;NULL
1178;Rolschaatsen;66;1;0;NULL;NULL;NULL;NULL
1179;Skateboarding;66;1;0;NULL;NULL;NULL;NULL
1456;Schieten - karabijn;70;1;0;15/07/2010 11:36;15/07/2010 11:36;NULL;NULL
1181;Duiken;37;1;0;NULL;NULL;NULL;NULL
1182;Reddend zwemmen;64;1;0;NULL;NULL;NULL;NULL
1183;Schoonspringen;88;1;0;NULL;NULL;NULL;NULL
1185;Waterpolo;88;1;0;NULL;NULL;NULL;NULL
1186;Winterzwemmen;88;1;0;NULL;NULL;NULL;NULL
1187;Zwemmen;88;1;0;NULL;NULL;NULL;NULL
