id;naam;categorie_id;gepubliceerd;gearchiveerd;created_at;updated_at;created_by;updated_by
1283;Canopy formation;63;1;0;NULL;0000-00-00 00:00:00;NULL;NULL
1284;Freeflying;63;1;0;NULL;0000-00-00 00:00:00;NULL;NULL
1287;Canopy piloting;63;1;0;NULL;0000-00-00 00:00:00;NULL;NULL
1290;Boordroeien;65;1;0;NULL;0000-00-00 00:00:00;NULL;NULL
1291;Koppelroeien;65;1;0;NULL;0000-00-00 00:00:00;NULL;NULL
1294;Inline hockey;66;1;0;NULL;0000-00-00 00:00:00;NULL;NULL
1295;Downhill;66;1;0;NULL;0000-00-00 00:00:00;NULL;NULL
1296;Inlinefreestyle;66;1;0;NULL;0000-00-00 00:00:00;NULL;NULL
1297;Floret;69;1;0;NULL;0000-00-00 00:00:00;NULL;NULL
1298;Degen;69;1;0;NULL;0000-00-00 00:00:00;NULL;NULL
1300;Geweer;70;1;0;NULL;0000-00-00 00:00:00;NULL;NULL
1303;Bench;70;1;0;NULL;0000-00-00 00:00:00;NULL;NULL
1304;Historische wapens;70;1;0;NULL;0000-00-00 00:00:00;NULL;NULL
1309;Alpine;71;1;0;NULL;0000-00-00 00:00:00;NULL;NULL
1310;Langlauf;71;1;0;NULL;0000-00-00 00:00:00;NULL;NULL
1315;Gras;71;1;0;NULL;0000-00-00 00:00:00;NULL;NULL
1317;Firngleiten;71;1;0;NULL;0000-00-00 00:00:00;NULL;NULL
1320;tennis;75;1;1;NULL;5/04/2011 13:15;NULL;NULL
1326;Iaido;77;1;0;NULL;0000-00-00 00:00:00;NULL;NULL
1331;Balboogschieten;78;1;0;NULL;0000-00-00 00:00:00;NULL;NULL
1350;Blootsvoets;82;1;0;NULL;0000-00-00 00:00:00;NULL;NULL
1353;Kabelbaan;82;1;0;NULL;0000-00-00 00:00:00;NULL;NULL
1357;Fietspolo;83;1;0;NULL;0000-00-00 00:00:00;NULL;NULL
1359;indoor (kunstwielrennen);83;1;0;NULL;0000-00-00 00:00:00;NULL;NULL
1360;Grieks-romeins;84;1;0;NULL;0000-00-00 00:00:00;NULL;NULL
1364;Kielboot;86;1;0;NULL;0000-00-00 00:00:00;NULL;NULL
1366;Erkende klassen;86;1;0;NULL;0000-00-00 00:00:00;NULL;NULL
1367;Klassieke yachtklassen;86;1;0;NULL;0000-00-00 00:00:00;NULL;NULL
1368;Kitesurfen;86;1;0;NULL;0000-00-00 00:00:00;NULL;NULL
1369;Golfsurfen;86;1;0;NULL;0000-00-00 00:00:00;NULL;NULL
1379;Karabijn;70;1;0;10/03/2010 15:28;10/03/2010 15:28;NULL;NULL
2357;Erfgoed;359;1;0;8/03/2013 11:20;8/03/2013 11:20;468;468
2358;armoedebestrijding - huisbezoeken;360;0;1;21/02/2013 10:07;21/02/2013 10:09;1;1
2359;naschoolse studiebegeleiding in groep;362;1;0;21/02/2013 10:09;5/03/2013 14:56;1;4441
2360;naschoolse studiebegeleiding individueel;362;1;0;21/02/2013 10:09;5/03/2013 14:56;1;4441
2361;oudergroep;362;1;0;21/02/2013 10:09;5/03/2013 14:56;1;4441
2362;gemengde moeder- en vadergroep;363;1;0;21/02/2013 10:09;5/03/2013 14:56;1;4441
2363;moedergroep;363;1;0;21/02/2013 10:10;5/03/2013 14:56;1;4441
2364;Vadergroep;363;1;0;5/03/2013 14:56;5/03/2013 14:56;4441;4441
2365;Opvoedingsondersteuning individueel;363;1;0;5/03/2013 14:57;5/03/2013 14:57;4441;4441
2366;Individuele toeleiding naar diensten;363;1;0;5/03/2013 14:57;13/03/2013 11:06;4441;4997
2367;Groepswerking intercultureel opvoeden;363;1;0;5/03/2013 14:57;13/03/2013 11:06;4441;4997
2368;Individuele toeleiding naar diensten;364;1;0;5/03/2013 14:59;13/03/2013 11:01;4441;4997
2438;Infosessies arbeidsmarkt;364;1;0;13/03/2013 11:01;13/03/2013 11:01;4997;4997
2435;Infosessies gezondheidspreventie;365;1;0;13/03/2013 10:59;13/03/2013 10:59;4997;4997
2434;Thuiszorg;365;1;0;13/03/2013 10:59;13/03/2013 10:59;4997;4997
2373;Individuele toeleiding naar diensten;365;1;0;5/03/2013 15:01;5/03/2013 15:01;4441;4441
2374;Mantelzorg;365;1;0;5/03/2013 15:01;5/03/2013 15:01;4441;4441
2375;Lotgenotengroep;365;1;0;5/03/2013 15:02;5/03/2013 15:02;4441;4441
2376;Palliatieve zorg;365;1;0;5/03/2013 15:02;5/03/2013 15:02;4441;4441
2377;Groepsgerichte infosessies;366;1;0;5/03/2013 15:02;5/03/2013 15:02;4441;4441
2378;Individuele toeleiding naar diensten;366;1;0;5/03/2013 15:03;5/03/2013 15:03;4441;4441
2437;Begeleid zelfstandig wonen;366;1;0;13/03/2013 11:00;13/03/2013 11:00;4997;4997
2436;Huurdersbelangen;366;1;0;13/03/2013 11:00;13/03/2013 11:00;4997;4997
2381;Interculturele dialoog;367;1;0;5/03/2013 15:05;5/03/2013 15:05;4441;4441
2382;Eigen taal en cultuurbeleving;367;1;0;5/03/2013 15:06;5/03/2013 15:06;4441;4441
2383;Ontmoeting in eigen groep;367;1;0;5/03/2013 15:06;5/03/2013 15:06;4441;4441
2384;Interculturele ontmoeting en samenwerking;367;1;0;5/03/2013 15:06;5/03/2013 15:06;4441;4441
2385;Groepsgerichte inburgeringsactiviteiten;368;1;0;5/03/2013 15:07;5/03/2013 15:07;4441;4441
2386;Inburgeringscoaches;368;1;0;5/03/2013 15:07;5/03/2013 15:07;4441;4441
2387;Conversatiegroepen;369;1;0;5/03/2013 15:08;5/03/2013 15:08;4441;4441
2443;Projectwerk in het zuiden;373;1;0;13/03/2013 11:05;13/03/2013 11:05;4997;4997
2389;Regulier NT2-onderwijs;369;1;0;5/03/2013 15:09;5/03/2013 15:09;4441;4441
2449;Zwerkbal;21;1;0;27/03/2014 9:12;27/03/2014 9:12;28;28
2447;Aerobics;21;1;0;9/08/2013 9:04;9/08/2013 9:04;661;661
2446;Kangoo Jumps;21;1;0;7/08/2013 14:26;7/08/2013 14:26;28;28
2445;Netbal;21;0;0;23/05/2013 13:38;23/05/2013 13:38;661;661
2394;Daguitstap in groep;371;1;0;5/03/2013 15:38;5/03/2013 15:38;4441;4441
2395;Stadsbezoeken;371;1;0;5/03/2013 15:39;5/03/2013 15:39;4441;4441
2396;Groepsvakantie;371;1;0;5/03/2013 15:39;5/03/2013 15:39;4441;4441
2397;Interculturele relaties;372;1;0;5/03/2013 15:40;5/03/2013 15:40;4441;4441
2398;Preventie intrafamiliaal geweld;372;1;0;5/03/2013 15:40;13/03/2013 11:06;4441;4997
2399;Toeleiding mensen in echtscheiding;372;1;0;5/03/2013 15:41;5/03/2013 15:41;4441;4441
2400;Groepswerking lotgenoten;372;1;0;5/03/2013 15:42;5/03/2013 15:42;4441;4441
2401;Holebi- en transgenderthema's;372;1;0;5/03/2013 15:42;5/03/2013 15:43;4441;4441
2442;Fondsenwerving voor het zuiden;373;1;0;13/03/2013 11:04;13/03/2013 11:04;4997;4997
2404;Eerlijke handel;373;1;0;5/03/2013 15:44;5/03/2013 15:44;4441;4441
2428;Naaiatelier;377;1;0;13/03/2013 10:56;13/03/2013 10:56;4997;4997
2427;Modelbouwatelier;377;1;0;13/03/2013 10:56;13/03/2013 10:56;4997;4997
2426;Kookatelier;377;1;0;13/03/2013 10:56;13/03/2013 10:56;4997;4997
2425;Knutselatelier;377;1;0;13/03/2013 10:56;13/03/2013 10:56;4997;4997
2424;Houtatelier;377;1;0;13/03/2013 10:55;13/03/2013 10:55;4997;4997
2423;Breiatelier;377;1;0;13/03/2013 10:55;13/03/2013 10:55;4997;4997
2412;Alternatieve munt;375;1;0;5/03/2013 15:47;5/03/2013 15:47;4441;4441
2413;Ruilacties;375;1;0;5/03/2013 15:48;5/03/2013 15:48;4441;4441
2414;Warme buurt;375;1;0;5/03/2013 15:48;5/03/2013 15:48;4441;4441
2415;Buurtfeesten;375;1;0;5/03/2013 15:48;5/03/2013 15:48;4441;4441
2416;Noodhulp;376;1;0;13/03/2013 10:52;13/03/2013 10:52;4997;4997
2417;Individuele toeleiding naar diensten;376;1;0;13/03/2013 10:52;13/03/2013 10:52;4997;4997
2418;Groepsgerichte werking;376;1;0;13/03/2013 10:53;13/03/2013 10:53;4997;4997
2419;Sociale kruidenier;376;1;0;13/03/2013 10:53;13/03/2013 10:53;4997;4997
2420;Inspraak;375;1;0;13/03/2013 10:54;13/03/2013 10:54;4997;4997
2421;Lentepoets;375;1;0;13/03/2013 10:54;13/03/2013 10:54;4997;4997
2422;Buurthuis;375;1;0;13/03/2013 10:54;13/03/2013 10:54;4997;4997
2429;Groepsbezoek musea en tentoonstellingen;378;1;0;13/03/2013 10:57;13/03/2013 10:57;4997;4997
2430;Groepsbezoek concert, dans of theater;378;1;0;13/03/2013 10:57;13/03/2013 10:57;4997;4997
2431;Bespreken poëzie en literatuur;378;1;0;13/03/2013 10:58;13/03/2013 10:58;4997;4997
2432;Bespreken erfgoed;378;1;0;13/03/2013 10:58;13/03/2013 10:58;4997;4997
2433;Promotie eigen cultuur;367;1;0;13/03/2013 10:59;13/03/2013 10:59;4997;4997
2439;Beroepsopleiding;364;1;0;13/03/2013 11:01;13/03/2013 11:01;4997;4997
2440;Sociale tewerkstelling;364;1;0;13/03/2013 11:02;13/03/2013 11:02;4997;4997
2441;Infosessies over onderwijs;362;1;0;13/03/2013 11:03;13/03/2013 11:03;4997;4997
2444;Ontwikkelingssamenwerkingseducatie;373;1;0;13/03/2013 11:05;13/03/2013 11:05;4997;4997
2450;Nia;21;1;0;28/03/2014 10:23;28/03/2014 10:23;28;28
2451;Piloxing;21;1;0;28/03/2014 10:29;28/03/2014 10:29;28;28
